OBJECTID;DEM_RÍO_MAGDALENA_tif;X;Y;DEM_RÍO_MAGDALENA_Band_1
629;44;-73,847916666666563;7,956249999999917;44,0000000
630;45;-73,843749999999886;7,956249999999917;45,0000000
631;45;-73,843749999999886;7,952083333333251;45,0000000
632;45;-73,839583333333223;7,952083333333251;45,0000000
633;44;-73,839583333333223;7,947916666666584;44,0000000
634;44;-73,835416666666561;7,947916666666584;44,0000000
635;45;-73,868749999999892;7,943749999999917;45,0000000
636;45;-73,835416666666561;7,943749999999917;45,0000000
637;45;-73,835416666666561;7,939583333333251;45,0000000
638;45;-73,831249999999883;7,939583333333251;45,0000000
639;45;-73,831249999999883;7,935416666666584;45,0000000
640;45;-73,831249999999883;7,931249999999917;45,0000000
641;46;-73,839583333333223;7,927083333333250;46,0000000
642;45;-73,835416666666561;7,927083333333250;45,0000000
643;45;-73,831249999999883;7,927083333333250;45,0000000
644;45;-73,835416666666561;7,922916666666584;45,0000000
645;45;-73,835416666666561;7,918749999999918;45,0000000
646;45;-73,835416666666561;7,914583333333250;45,0000000
647;45;-73,831249999999883;7,914583333333250;45,0000000
648;45;-73,835416666666561;7,910416666666584;45,0000000
649;45;-73,831249999999883;7,910416666666584;45,0000000
650;46;-73,839583333333223;7,906249999999917;46,0000000
651;45;-73,835416666666561;7,906249999999917;45,0000000
652;45;-73,839583333333223;7,902083333333250;45,0000000
653;45;-73,835416666666561;7,902083333333250;45,0000000
654;45;-73,831249999999883;7,902083333333250;45,0000000
655;46;-73,839583333333223;7,897916666666584;46,0000000
656;45;-73,835416666666561;7,897916666666584;45,0000000
657;45;-73,831249999999883;7,897916666666584;45,0000000
658;45;-73,839583333333223;7,893749999999917;45,0000000
659;45;-73,835416666666561;7,893749999999917;45,0000000
660;46;-73,827083333333221;7,893749999999917;46,0000000
661;47;-73,839583333333223;7,889583333333251;47,0000000
662;45;-73,835416666666561;7,889583333333251;45,0000000
663;45;-73,827083333333221;7,889583333333251;45,0000000
664;45;-73,835416666666561;7,885416666666583;45,0000000
665;45;-73,822916666666558;7,885416666666583;45,0000000
666;46;-73,835416666666561;7,881249999999917;46,0000000
667;45;-73,831249999999883;7,881249999999917;45,0000000
668;45;-73,827083333333221;7,881249999999917;45,0000000
669;45;-73,822916666666558;7,881249999999917;45,0000000
670;47;-73,831249999999883;7,877083333333250;47,0000000
671;45;-73,827083333333221;7,877083333333250;45,0000000
672;45;-73,818749999999895;7,877083333333250;45,0000000
673;46;-73,827083333333221;7,872916666666583;46,0000000
674;45;-73,822916666666558;7,872916666666583;45,0000000
675;45;-73,818749999999895;7,872916666666583;45,0000000
676;47;-73,827083333333221;7,868749999999917;47,0000000
677;45;-73,822916666666558;7,868749999999917;45,0000000
678;45;-73,818749999999895;7,868749999999917;45,0000000
679;45;-73,822916666666558;7,864583333333250;45,0000000
680;45;-73,818749999999895;7,864583333333250;45,0000000
681;45;-73,822916666666558;7,860416666666584;45,0000000
682;45;-73,822916666666558;7,856249999999917;45,0000000
683;46;-73,818749999999895;7,856249999999917;46,0000000
684;45;-73,822916666666558;7,852083333333250;45,0000000
685;46;-73,818749999999895;7,852083333333250;46,0000000
686;45;-73,818749999999895;7,847916666666583;45,0000000
687;47;-73,827083333333221;7,843749999999917;47,0000000
688;45;-73,818749999999895;7,843749999999917;45,0000000
689;45;-73,814583333333218;7,843749999999917;45,0000000
690;47;-73,827083333333221;7,839583333333250;47,0000000
691;45;-73,818749999999895;7,839583333333250;45,0000000
692;47;-73,810416666666555;7,839583333333250;47,0000000
693;46;-73,827083333333221;7,835416666666584;46,0000000
694;45;-73,818749999999895;7,835416666666584;45,0000000
695;45;-73,818749999999895;7,831249999999917;45,0000000
696;45;-73,818749999999895;7,827083333333250;45,0000000
697;46;-73,822916666666558;7,822916666666583;46,0000000
698;46;-73,806249999999892;7,822916666666583;46,0000000
699;47;-73,822916666666558;7,818749999999916;47,0000000
700;45;-73,818749999999895;7,818749999999916;45,0000000
701;45;-73,806249999999892;7,818749999999916;45,0000000
702;47;-73,822916666666558;7,814583333333250;47,0000000
703;45;-73,814583333333218;7,814583333333250;45,0000000
704;45;-73,810416666666555;7,814583333333250;45,0000000
705;46;-73,806249999999892;7,814583333333250;46,0000000
706;46;-73,822916666666558;7,810416666666583;46,0000000
707;45;-73,810416666666555;7,810416666666583;45,0000000
708;46;-73,806249999999892;7,810416666666583;46,0000000
709;49;-73,827083333333221;7,806249999999917;49,0000000
710;45;-73,810416666666555;7,806249999999917;45,0000000
711;46;-73,806249999999892;7,806249999999917;46,0000000
712;48;-73,827083333333221;7,802083333333250;48,0000000
713;45;-73,810416666666555;7,802083333333250;45,0000000
714;50;-73,827083333333221;7,797916666666583;50,0000000
715;46;-73,822916666666558;7,797916666666583;46,0000000
716;45;-73,810416666666555;7,797916666666583;45,0000000
717;46;-73,806249999999892;7,797916666666583;46,0000000
718;50;-73,822916666666558;7,793749999999917;50,0000000
719;46;-73,818749999999895;7,793749999999917;46,0000000
720;45;-73,814583333333218;7,793749999999917;45,0000000
721;45;-73,810416666666555;7,793749999999917;45,0000000
722;45;-73,806249999999892;7,793749999999917;45,0000000
723;46;-73,810416666666555;7,789583333333249;46,0000000
724;45;-73,806249999999892;7,789583333333249;45,0000000
725;46;-73,806249999999892;7,785416666666583;46,0000000
726;46;-73,802083333333229;7,781249999999917;46,0000000
727;47;-73,797916666666552;7,777083333333250;47,0000000
728;46;-73,797916666666552;7,772916666666584;46,0000000
729;48;-73,802083333333229;7,768749999999916;48,0000000
730;46;-73,797916666666552;7,768749999999916;46,0000000
731;46;-73,802083333333229;7,764583333333250;46,0000000
732;49;-73,806249999999892;7,760416666666583;49,0000000
733;49;-73,810416666666555;7,756249999999916;49,0000000
734;47;-73,806249999999892;7,756249999999916;47,0000000
735;47;-73,810416666666555;7,752083333333250;47,0000000
736;48;-73,814583333333218;7,747916666666583;48,0000000
737;48;-73,810416666666555;7,747916666666583;48,0000000
738;51;-73,822916666666558;7,743749999999917;51,0000000
739;48;-73,818749999999895;7,743749999999917;48,0000000
740;53;-73,831249999999883;7,739583333333250;53,0000000
741;49;-73,827083333333221;7,739583333333250;49,0000000
742;47;-73,822916666666558;7,739583333333250;47,0000000
743;48;-73,818749999999895;7,739583333333250;48,0000000
744;50;-73,814583333333218;7,739583333333250;50,0000000
745;52;-73,831249999999883;7,735416666666583;52,0000000
746;48;-73,827083333333221;7,735416666666583;48,0000000
747;51;-73,831249999999883;7,731249999999916;51,0000000
748;55;-73,835416666666561;7,727083333333249;55,0000000
749;49;-73,831249999999883;7,727083333333249;49,0000000
750;54;-73,835416666666561;7,722916666666583;54,0000000
751;48;-73,831249999999883;7,722916666666583;48,0000000
752;53;-73,835416666666561;7,718749999999917;53,0000000
753;47;-73,831249999999883;7,718749999999917;47,0000000
754;48;-73,831249999999883;7,714583333333250;48,0000000
755;50;-73,827083333333221;7,714583333333250;50,0000000
756;48;-73,835416666666561;7,710416666666583;48,0000000
757;50;-73,831249999999883;7,710416666666583;50,0000000
758;48;-73,835416666666561;7,706249999999916;48,0000000
759;51;-73,831249999999883;7,706249999999916;51,0000000
760;48;-73,835416666666561;7,702083333333249;48,0000000
761;50;-73,831249999999883;7,702083333333249;50,0000000
762;49;-73,835416666666561;7,697916666666583;49,0000000
763;49;-73,831249999999883;7,697916666666583;49,0000000
764;53;-73,835416666666561;7,689583333333250;53,0000000
765;53;-73,835416666666561;7,685416666666583;53,0000000
766;50;-73,835416666666561;7,677083333333250;50,0000000
767;50;-73,831249999999883;7,677083333333250;50,0000000
768;52;-73,827083333333221;7,672916666666582;52,0000000
769;51;-73,827083333333221;7,668749999999916;51,0000000
770;54;-73,822916666666558;7,668749999999916;54,0000000
771;56;-73,822916666666558;7,664583333333249;56,0000000
